station_id,site,station,date,year,month,day,bom_rainfall,nasa_rainfall,era5_rainfall
23867,Montacute,Ashton,05-06-2024,2024,6,5,0,0.14,0.551
23867,Montacute,Ashton,04-06-2024,2024,6,4,0.2,0.79,1.256
23867,Montacute,Ashton,03-06-2024,2024,6,3,0.2,0.01,1.0873
23867,Montacute,Ashton,02-06-2024,2024,6,2,0,0.02,0
23867,Montacute,Ashton,01-06-2024,2024,6,1,9.2,0.23,0.0836
23867,Montacute,Ashton,31-05-2024,2024,5,31,14.2,6.07,1.145
23867,Montacute,Ashton,30-05-2024,2024,5,30,11.8,5.42,9.1017
23867,Montacute,Ashton,29-05-2024,2024,5,29,0,0,2.5489
23867,Montacute,Ashton,28-05-2024,2024,5,28,0,0,0
23867,Montacute,Ashton,27-05-2024,2024,5,27,0,0,0.0026
23867,Montacute,Ashton,26-05-2024,2024,5,26,0,0.03,0
23867,Montacute,Ashton,25-05-2024,2024,5,25,0,0,0
23867,Montacute,Ashton,24-05-2024,2024,5,24,0,0.01,0.0009
23867,Montacute,Ashton,23-05-2024,2024,5,23,0,0.01,0
23867,Montacute,Ashton,22-05-2024,2024,5,22,0,0,0.0009
23867,Montacute,Ashton,21-05-2024,2024,5,21,0.8,0.03,0.0112
23867,Montacute,Ashton,20-05-2024,2024,5,20,4.2,0.99,0.1076
23867,Montacute,Ashton,19-05-2024,2024,5,19,0,0.23,0.133
23867,Montacute,Ashton,18-05-2024,2024,5,18,0,0.02,0.0064
23867,Montacute,Ashton,17-05-2024,2024,5,17,0,0.13,0.0011
23867,Montacute,Ashton,16-05-2024,2024,5,16,0,0,0.003
23867,Montacute,Ashton,15-05-2024,2024,5,15,0,0,0.0009
23867,Montacute,Ashton,14-05-2024,2024,5,14,0,0.01,0.001
23867,Montacute,Ashton,13-05-2024,2024,5,13,0.2,0.02,0.0042
23867,Montacute,Ashton,12-05-2024,2024,5,12,0.2,0.01,0.0016
23867,Montacute,Ashton,11-05-2024,2024,5,11,0,0,0.0345
23867,Montacute,Ashton,10-05-2024,2024,5,10,0,0.03,0.0046
23867,Montacute,Ashton,09-05-2024,2024,5,9,0,0.01,0.0009
23867,Montacute,Ashton,08-05-2024,2024,5,8,0,0.04,0.0009
23867,Montacute,Ashton,07-05-2024,2024,5,7,0,0.04,0.0009
23867,Montacute,Ashton,06-05-2024,2024,5,6,0.2,0,0.0003
23867,Montacute,Ashton,05-05-2024,2024,5,5,0,0.01,0.0009
23867,Montacute,Ashton,04-05-2024,2024,5,4,0,0.01,0.0022
23867,Montacute,Ashton,03-05-2024,2024,5,3,0,0.04,0
23867,Montacute,Ashton,02-05-2024,2024,5,2,0.2,0.05,0.0616
23867,Montacute,Ashton,01-05-2024,2024,5,1,0,0,0.0009
23867,Montacute,Ashton,30-04-2024,2024,4,30,0.2,0,0.0009
23867,Montacute,Ashton,29-04-2024,2024,4,29,0,0,0.0461
23867,Montacute,Ashton,28-04-2024,2024,4,28,0,0.01,0.0117
23867,Montacute,Ashton,27-04-2024,2024,4,27,0,0,0.0433
23867,Montacute,Ashton,26-04-2024,2024,4,26,0.4,0.07,0.0063
23867,Montacute,Ashton,25-04-2024,2024,4,25,0,0.05,0.3489
23867,Montacute,Ashton,24-04-2024,2024,4,24,0,0,0.0214
23867,Montacute,Ashton,23-04-2024,2024,4,23,0,0.02,0.0529
23867,Montacute,Ashton,22-04-2024,2024,4,22,0,0.01,0.0009
23867,Montacute,Ashton,21-04-2024,2024,4,21,0,0.01,0.0004
23867,Montacute,Ashton,20-04-2024,2024,4,20,0,0,0
23867,Montacute,Ashton,19-04-2024,2024,4,19,3.8,1.88,0.0171
23867,Montacute,Ashton,18-04-2024,2024,4,18,0.2,0.53,0.4655
23867,Montacute,Ashton,17-04-2024,2024,4,17,0.2,0.02,0.0102
23867,Montacute,Ashton,16-04-2024,2024,4,16,0,0,0.0019
23867,Montacute,Ashton,15-04-2024,2024,4,15,0.2,0.02,0.002
23867,Montacute,Ashton,14-04-2024,2024,4,14,0,0,0.001
23867,Montacute,Ashton,13-04-2024,2024,4,13,0.2,0,0.0017
23867,Montacute,Ashton,12-04-2024,2024,4,12,0.2,0.02,0.0199
23867,Montacute,Ashton,11-04-2024,2024,4,11,0,0.07,0.0093
23867,Montacute,Ashton,10-04-2024,2024,4,10,0.6,0.22,0.0446
23867,Montacute,Ashton,09-04-2024,2024,4,9,9.2,0.29,0.0149
23867,Montacute,Ashton,08-04-2024,2024,4,8,0,3.45,1.6446
23867,Montacute,Ashton,07-04-2024,2024,4,7,0,0,0.0928
23867,Montacute,Ashton,06-04-2024,2024,4,6,0,0,0.0072
23867,Montacute,Ashton,05-04-2024,2024,4,5,0.2,0,0.0004
23867,Montacute,Ashton,04-04-2024,2024,4,4,1.8,0,0.0022
23867,Montacute,Ashton,03-04-2024,2024,4,3,1.4,0,0.4117
23867,Montacute,Ashton,02-04-2024,2024,4,2,9.2,0.51,1.0138
23867,Montacute,Ashton,01-04-2024,2024,4,1,0,10.78,1.4242
23867,Montacute,Ashton,31-03-2024,2024,3,31,0,2.36,0.0063
23867,Montacute,Ashton,30-03-2024,2024,3,30,0,0,0.0017
23867,Montacute,Ashton,29-03-2024,2024,3,29,0.2,0,0
23867,Montacute,Ashton,28-03-2024,2024,3,28,0,0,0
23867,Montacute,Ashton,27-03-2024,2024,3,27,0,0,0.0009
23867,Montacute,Ashton,26-03-2024,2024,3,26,0.2,0,0
23867,Montacute,Ashton,25-03-2024,2024,3,25,0,0,0.0017
23867,Montacute,Ashton,24-03-2024,2024,3,24,0,0,0.0009
23867,Montacute,Ashton,23-03-2024,2024,3,23,0,0,0.0012
23867,Montacute,Ashton,22-03-2024,2024,3,22,0,0,0.0021
23867,Montacute,Ashton,21-03-2024,2024,3,21,0,0,0.0009
23867,Montacute,Ashton,20-03-2024,2024,3,20,0,0,0
23867,Montacute,Ashton,19-03-2024,2024,3,19,0,0.05,0.2822
23867,Montacute,Ashton,18-03-2024,2024,3,18,0.2,0.27,0.0973
23867,Montacute,Ashton,17-03-2024,2024,3,17,1.6,7.69,0.7444
23867,Montacute,Ashton,16-03-2024,2024,3,16,0.2,0.07,0.8306
23867,Montacute,Ashton,15-03-2024,2024,3,15,1,0,0.0021
23867,Montacute,Ashton,14-03-2024,2024,3,14,0.6,0,0.5747
23867,Montacute,Ashton,13-03-2024,2024,3,13,0,0,0.2351
23867,Montacute,Ashton,12-03-2024,2024,3,12,0,0,0.0004
23867,Montacute,Ashton,11-03-2024,2024,3,11,0,0,0.0004
23867,Montacute,Ashton,10-03-2024,2024,3,10,0,0,0
23867,Montacute,Ashton,09-03-2024,2024,3,9,0,0,0.0009
